,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70,Fission Density_bu_160,FD std dev_bu_160,Relative unc._bu_160
4B,4,0.9591678123983559,0.0013582659869400564,0.001416087956020723,0.9601749281215034,0.001687804824242553,0.001757809722801857,0.9572930939907014,0.0015599511363125036,0.0016295439151341627,0.9583151556614972,0.00158755975849633,0.0016566155185143488,0.9641561659150252,0.001577672352185308,0.001636324495926477
4B,5,1.1996568783805353,0.0016595069805309015,0.0013833180223758116,1.201317415422431,0.0017316271492610145,0.0014414401448197645,1.1941430851245425,0.0017473133378243372,0.0014632361561948855,1.194997673902176,0.00175222978483623,0.0014663039293745686,1.2015693516019594,0.0020369078505389185,0.0016952062299385939
5T,1,1.2084236298540851,0.0017752105941411839,0.0014690300241443784,1.2089280935691955,0.0018726022553679355,0.0015489773670817196,1.2053822341321672,0.0017710526277178965,0.0014692871502233413,1.2073745233401476,0.0017220668095063252,0.0014262904974525258,1.2104250498618878,0.0017339387040354293,0.0014325039821617006
5T,2,0.96681532921216,0.001480883260843772,0.0015317126405624088,0.968170790339278,0.0014691048691743887,0.0015174025944942706,0.965672563129486,0.0014488885333188346,0.0015003931856812573,0.965722855579052,0.0013877073845805536,0.001436962350599518,0.9702618178687168,0.0016651151197782455,0.0017161503102697045
5T,3,0.4687014971388252,0.0007842612897087793,0.0016732638886290735,0.4698973396059644,0.0007727879498368588,0.0016445889020884547,0.4686177474526001,0.0007093995323478727,0.0015138127742795895,0.4697595061241333,0.0006250694848281815,0.0013306159357699251,0.4704213669353519,0.00080310354580539,0.001707200400010226
5T,4,0.9668563312290888,0.001395267282151079,0.0014430968046487164,0.9664285887106908,0.0015750508966617975,0.0016297643872094758,0.9629005820285496,0.001443578846171687,0.0014991982278487039,0.9666445235998382,0.0015444492679569574,0.0015977427381529481,0.9699482430839784,0.001500149690603343,0.001546628597247183
5T,5,1.2042890345369253,0.0015888092360578346,0.0013192922882244505,1.20525248535081,0.0018957370446974825,0.0015728961920752186,1.2022043235827855,0.0015065819400444293,0.0012531829327934402,1.2015839650321576,0.0019163312288542208,0.0015948375516170728,1.2055222295818335,0.0017553709080637234,0.001456108286508013
5B,1,1.233482413937573,0.002047196843853159,0.001659688716045828,1.2330000716811522,0.0019648181963126178,0.0015935264250501275,1.2325451768285762,0.0018136167367893492,0.0014714403746691948,1.2358431375621572,0.0017626247675912351,0.0014262528261217804,1.2365195673567704,0.0017059623979537974,0.0013796485255793607
5B,2,0.9898061140012808,0.0015522228946885305,0.0015682090388527564,0.9896508891278721,0.0017365069622092724,0.0017546661972279599,0.9898431202824663,0.0015634682020111825,0.0015795111063306919,0.9915940801755481,0.0015899463826664466,0.0016034246416486962,0.9928843192898716,0.0015207815427114133,0.0015316804920427218
5B,3,0.4797008311768146,0.000817567452222222,0.0017043277790796073,0.4798337484586772,0.0007369066567495912,0.0015357541213319907,0.4801508320637581,0.0008209458068275571,0.0017097664983709655,0.4800614485130513,0.0007753025212084648,0.0016150068363329265,0.4811564834027226,0.0007933406278086077,0.0016488204049504422
5B,4,0.9893592437742073,0.001637558144238883,0.001655170409073985,0.9900918493838292,0.0014751285648949306,0.0014898906256151465,0.9889299093277232,0.0017208380202968928,0.0017401010972220693,0.9906360114609672,0.001494600626198116,0.0015087283410926216,0.9938996338134576,0.0015009276841572502,0.0015101400917096578
5B,5,1.2342953231379026,0.0020594459932090424,0.0016685196440454704,1.2363355574971022,0.0019065692606069905,0.0015421131011282587,1.2346246189402783,0.0019617428878075747,0.0015889387411466064,1.2346993673027815,0.0017358086775031384,0.0014058553227374185,1.237271635476363,0.002038029103367247,0.0016471961733630007
